slug,whatIs,mechanism,mw,type,ind_me1,ind_me2,ref1,ref2
gnrh-triptorelin,GnRH Triptorelin is a synthetic decapeptide GnRH agonist that suppresses pituitary gonadotropin secretion through receptor downregulation.,Initially stimulates then suppresses LH/FSH via GnRH receptor downregulation.,~1.3 kDa,GnRH analog,Hormone Suppression,GnRH Research,Conn PM et al. N Engl J Med 1991,Schally AV Peptides 1999
gonadorelin,Gonadorelin is synthetic GnRH a decapeptide that regulates pituitary LH and FSH secretion through pulsatile signalling.,Binds GnRH receptors on pituitary gonadotrophs stimulating pulsatile LH/FSH release.,~1.2 kDa,GnRH decapeptide,Hypogonadism,Diagnostic Testing,Belchetz PE et al. Science 1978,Conn PM et al. Endocr Rev 1986
hcg,HCG is a glycoprotein hormone that acts as an LH analog stimulating gonadal steroidogenesis.,Binds to LH/HCG receptors on gonadal cells activating cAMP signalling to stimulate testosterone production.,~37 kDa,Glycoprotein hormone,Hypogonadism,Fertility Research,Stenman UH et al. Clin Chem 2006,Choi J et al. J Clin Endocrinol Metab 2005
hgh-191aa,HGH 191AA is recombinant human growth hormone identical to endogenous pituitary GH a 191-amino acid protein regulating growth and metabolism.,Binds to GH receptors activating JAK2/STAT5 signalling stimulating IGF-1 production.,~22.1 kDa,Recombinant hGH,GH Deficiency,Anti-Aging,Moller N et al. Endocr Rev 2009,Ho KY Eur J Endocrinol 2003
hgh-97,HGH-97 is a 97-amino acid N-terminal fragment of human growth hormone retaining some metabolic activity.,Binds GH receptors with lower affinity than full-length HGH retaining some metabolic effects.,~11 kDa,HGH fragment,GH Research,Metabolic Studies,Chawla RK et al. J Clin Endocrinol Metab 1982,
igf-1-des,IGF-1 DES is a truncated analogue of IGF-1 lacking the N-terminal tripeptide making it more potent.,Binds IGF-1 receptors with reduced affinity for IGFBPs increasing bioavailability.,~7.5 kDa,IGF-1 analog,Muscle Growth,Muscle Wasting,Tomas FM et al. Biochem J 1991,Francis GL et al. J Mol Endocrinol 1992
igf-1-lr3,IGF-1 LR3 is an 83-amino acid recombinant analog of human IGF-1 with prolonged half-life.,The Arg3 substitution reduces IGFBP binding while maintaining potent IGF-1 receptor activation.,~9.1 kDa,IGF-1 analog,Muscle Growth,IGF-1 Deficiency,Tomas FM et al. Biochem J 1991,Francis GL et al. J Endocrinol 2008
klow,KLOW is an enhanced peptide blend combining GHK-Cu BPC-157 TB-500 and KPV for comprehensive tissue repair.,GHK-Cu signals collagen synthesis BPC-157 promotes angiogenesis TB-500 modulates cell migration KPV provides anti-inflammatory activity.,N/A,Quadruple peptide blend,Skin Rejuvenation,Wound Healing,Pickart L et al. J Biomater Sci 2012,
l-carnitine,L-Carnitine is a naturally occurring amino acid derivative that transports fatty acids into mitochondria for energy production.,Acts as a carrier molecule shuttling fatty acyl groups across the inner mitochondrial membrane via CPT system.,~161 Da,Amino acid derivative,Fatty Acid Oxidation,Energy Metabolism,Rebouche CJ et al. Annu Rev Nutr 1998,Karlic H et al. Nutrition 2004
lipo-c,Lipo-C is a lipotropic injectable blend of methionine inositol choline and B-vitamins supporting liver fat metabolism.,Methionine donates methyl groups for lipid transport inositol facilitates fat movement choline supports VLDL synthesis.,N/A,Lipotropic blend,Fat Metabolism,Weight Management,Bell SJ et al. Altern Med Rev 2000,
